Name,Dribbling,Skill_Moves,Ball_Control,Attacking_Position,Balance,Agility
Mairon Quiñones,49.0,2,51,44,76,72
Sadiq El Fitouri,40.2,2,40,47,55,57
Diego Moreno,51.0,3,57,56,69,70
Ben McKendry,50.0,2,62,55,69,62
Gustav Berggren,43.2,2,59,41,56,58
Marvin Vallecilla,47.6,2,54,47,68,67
Pablo Benitez,25.0,1,12,8,70,34
Lee Desmond,41.8,2,53,33,60,61
Rodolfo Reyes,44.0,2,59,40,62,57
Diego Figueroa,27.8,1,12,19,68,39
Collin Fernandez,50.4,3,61,55,81,52
Erik Andersson,47.6,2,62,39,65,70
Greg Taylor,51.2,2,58,49,74,73
Tim Markström,18.8,1,19,12,29,33
Kilian Cantwell,39.6,2,48,29,62,57
Paul McKay,36.8,2,44,38,46,54
Ferdinando Del Sole,47.8,3,63,58,48,67
Filip Lesniak,46.0,2,57,52,60,59
Babajide David,51.2,3,54,44,73,82
Karlan Ahearne-Grant,48.2,2,54,57,60,68
Abdullah Al Ammar,49.2,3,55,48,79,61
Louis Béland-Goyette,53.6,2,60,52,81,73
Juan Méndez,47.2,2,44,47,75,68
Alexander McQueen,38.4,2,40,27,64,59
Thomas Hadler,26.8,1,22,16,58,37
Deimer Ruiz,43.8,2,60,49,41,67
Kyle Wootton,48.8,2,56,57,66,63
Zackarias Faour,50.2,2,60,59,70,60
Federico Serraiocco,24.4,1,22,20,44,35
David Ferguson,36.0,2,32,30,66,50
Scott Kashket,54.0,2,55,53,78,82
Viktor Götesson,44.6,2,56,49,60,56
Petar Gluhakovic,49.2,2,43,48,90,63
Darren Lyon,49.8,2,61,42,72,72
Nilson Castrillón,44.2,2,53,44,65,57
Bobson Bawling,47.8,3,52,51,61,72
Maicol Medina,47.4,2,54,43,65,73
Jarrod Bowen,49.6,2,55,53,70,68
Jonjoe Kenny,44.0,2,52,35,71,60
William Boyle,31.2,2,33,22,57,42
Valentin Baume,28.6,1,25,19,61,37
Dennis Rosin,49.4,3,64,47,65,68
Michael McSweeney,43.8,2,46,48,63,60
Max Clark,49.8,2,57,53,66,71
Tobias Schützenauer,25.0,1,23,11,58,32
Narayan Das,50.4,3,48,46,76,79
Mour Paye,52.4,3,60,50,73,76
Francois-Joseph Sollacaro,24.2,1,19,5,59,37
Patrick Berg,49.4,2,62,51,75,57
Alex Lacey,35.6,2,40,29,63,44
Thomas Manos,25.8,1,17,17,59,35
Callum Burton,27.6,1,25,14,58,40
John Berner,21.2,1,18,17,40,30
Rasmus Levin Martinsen,37.0,2,31,28,65,59
Conor O'Malley,26.6,1,17,19,51,45
Ben Whitfield,51.8,2,57,42,90,68
Josh O'Hanlon,45.0,2,57,56,55,55
Pier Luigi Grazziani,25.2,1,23,16,52,34
Daniel Alessi,42.0,2,54,40,55,59
Marko Maroši,23.8,1,19,17,48,34
Alexandre Menay,27.8,1,21,16,62,39
Alejandro Peñaranda,48.0,2,54,61,67,56
Joshua Debayo,41.0,2,49,32,65,57
Tom Conlon,53.8,2,58,51,75,83
Jonas Gemmer,48.8,2,59,39,72,72
David Brooks,56.0,3,59,49,94,75
Abdullah Haif Al Shammari,40.6,2,50,36,53,62
Fabio Bertoli,48.6,2,60,52,66,63
Will De Havilland,41.0,2,49,32,64,58
Niall Keown,43.6,2,53,47,60,56
Mark Ochieng,48.0,2,53,44,79,62
Vicente Gatica,45.0,2,51,57,54,61
Mark Timlin,52.8,3,58,57,75,71
Dominic Oduro,50.8,2,54,54,73,71
Zakaria Messoudi,50.2,3,58,50,70,70
Harry Cornick,46.0,3,56,47,69,55
Bryan Cubillos,48.8,2,62,50,70,60
William Cuesta,19.4,1,25,11,22,38
Santiago Rodas,21.4,1,16,15,41,34
Cameron Dawson,26.2,1,21,8,66,35
Tom Beere,47.8,2,55,50,68,64
Brayan Camilo Reyes,51.4,3,49,48,88,69
Peter McGlynn,47.2,2,55,55,67,57
Jordan Cranston,45.4,3,51,38,66,69
Filippo Berra,38.6,2,57,23,64,47
Lazar Petkovic,21.0,1,18,16,41,29
John Hall,18.6,1,24,5,32,31
Casper Höjer Nielsen,41.0,2,56,42,61,44
Gwon Jin Yeong,49.4,2,56,56,71,62
Julian Büscher,48.4,3,61,54,67,57
Charlie Grainger,30.6,1,23,15,61,53
Joseph Chalmers,39.8,2,50,26,65,56
Kieran Wallace,47.8,2,51,53,66,67
Murtadha Al Burayh,37.4,2,31,28,65,61
Areli Hernández,48.0,2,59,51,69,59
Casper Nielsen,52.0,2,60,55,71,72
Lasse Nilsen,47.8,2,57,49,74,57
Ivan Lucic,20.6,1,22,5,42,33
Mitch Oxborrow,49.6,2,60,52,69,65
Kwabena Appiah,58.0,4,52,53,91,90
Michael Barker,44.0,2,51,42,63,62
John Kavanagh,45.0,2,48,44,70,61
Pierce Sweeney,38.8,2,52,31,66,43
Shay McCartan,53.2,2,58,58,74,74
Danny Morrissey,50.2,2,57,59,68,65
Hugh Douglas,42.4,2,53,48,51,58
Clément Diop,17.4,1,18,11,33,24
Frederik Due,18.6,1,12,9,41,30
Remi Matthews,30.8,1,23,12,57,61
Kevin Devaney,43.8,2,58,52,52,55
Aaron Amadi-Holloway,45.8,2,60,50,52,65
Alexander Lundin,19.8,1,16,10,32,40
John Sullivan,37.2,2,56,43,51,34
Yusuf Mersin,26.6,1,21,19,54,38
David Cawley,44.2,2,54,54,54,57
Marc Warren,48.8,2,54,44,74,70
Eoin Wearen,47.4,3,55,46,71,62
Shinichiro Kawamata,18.6,1,24,11,29,28
Ahmed Al Suhail,47.0,2,63,47,59,64
Danny Andrew,42.4,2,51,44,54,61
Scot Bennett,37.8,2,49,44,49,45
Gabriel Sava,29.2,1,23,20,46,56
Gauthier Pinaud,47.0,2,62,50,61,60
Paul Sinnott,36.8,2,56,37,55,34
Karl Moore,58.0,3,53,54,90,90
Bartłomiej Sielewski,44.8,3,54,48,64,55
Ivan Necevski,19.4,1,16,11,34,35
Marco Perchtold,42.8,2,58,49,65,40
Tomislav Arčaba,20.6,1,18,9,36,39
Yang Dong Won,29.6,1,13,16,52,66
Mateusz Bąk,22.0,1,15,14,40,40
David Pipe,44.8,2,57,41,72,52
Steve Collis,25.4,1,29,16,41,40
Daniel Andersson,14.6,1,24,12,25,11
Mike da Fonte,38.8,2,38,42,59,53
Lee You Hyeon,46.8,2,58,52,68,54
Lim Min Hyeok,18.8,1,11,8,40,34
Matt Bersano,24.4,1,15,14,40,52
Kevin Lankford,49.0,3,55,44,69,74
Julien Masson,35.8,2,52,28,53,44
Danny Deakin,49.6,3,53,58,74,60
Nicolás Astete,45.0,2,54,42,67,60
Matej Dekovic,31.4,2,33,22,52,48
Aleksandr Bukachev,45.0,2,46,46,81,50
Renat Fayzulin,44.6,3,58,45,66,51
Moisés Galé,44.2,2,44,51,63,61
Miguel Ortega,23.4,1,15,18,25,58
Kei Chinen,51.8,2,56,48,77,76
Carlos Rojas,47.2,3,50,55,71,57
Daniel Muñoz,43.4,2,52,35,69,59
Cristian Carletti,42.0,3,51,51,54,51
Marko Pejić,47.0,2,37,51,76,69
Alberto Dossena,34.2,2,40,32,52,45
Katsuya Nagato,44.2,2,39,48,78,54
Jerónimo Pourtau,18.6,1,10,6,43,33
Tin Plavotic,27.0,2,32,27,29,45
Berat Delihasan,47.4,2,47,54,80,54
Evans Osei,47.0,2,56,36,74,67
Christian Stark,49.0,3,58,49,67,68
Egor Chernyshov,46.0,2,40,54,79,55
Ryo Takano,47.8,2,45,46,80,66
Hirotsugu Nakabayashi,19.0,1,19,6,46,23
Slobodan Vuk,42.6,2,44,48,63,56
Joe Holland,46.6,3,54,51,67,58
Germán Berterame,49.2,3,55,49,69,70
Hicham Benkaid,46.6,2,58,44,70,59
Nick Depuy,38.0,3,44,56,40,47
Rennico Clarke,28.8,2,31,26,39,46
Doğuş Can İncedere,49.8,2,59,46,86,56
Cristian Gorgerino,46.2,2,48,45,73,63
Óscar Cabezas,45.8,2,45,48,69,65
Lee Myeong Geon,44.6,2,60,56,55,50
Berat Şahiner,42.8,2,36,42,75,59
Matt Van Oekel,21.8,1,17,12,34,45
Tomás Attis,47.6,3,56,56,65,58
Amadou Coulibaly,53.0,3,62,52,76,72
Mikael Anderson,50.8,2,58,53,66,75
Davinson Lemus,44.0,2,42,44,69,63
Osamu Henry Iyoha,39.2,2,45,24,69,56
Patryk Klimala,45.6,3,47,54,60,64
Leonel Rivas,54.0,3,52,48,86,81
Ellery Balcombe,19.0,1,15,10,46,23
Julius Kade,54.6,3,62,46,85,77
Anderson Machado,42.4,2,53,39,68,50
Jan-Ole Sievers,20.8,1,17,5,39,42
Mustapha Bundu,50.4,2,56,53,71,70
Sandro Kulenović,49.0,3,56,52,53,81
Ricardo Velazco,49.0,3,51,51,79,61
Marc Vito,19.2,1,17,7,37,34
Victor Mouangue,52.4,2,45,49,87,79
Juan Bolado,20.8,1,14,6,46,37
Daniel Batty,48.0,3,55,63,68,51
Kyle Duncan,46.2,2,53,48,76,52
Ferris N'Goma,50.0,2,57,51,73,67
Abdulaziz Al Aryani,50.2,2,53,57,76,63
Sebastián Lomónaco,46.0,2,53,53,69,53
Thomas Elsebutangen,42.6,2,49,53,44,65
Magnus Grødem,43.4,2,56,57,50,52
Michelle Benítez,50.0,2,58,53,78,59
Tomás Alarcón,37.2,2,37,24,62,61
Tommaso Equizi,34.8,2,45,18,63,46
Fernando Quiroz,45.4,2,50,54,61,60
Michalis Iliadis,20.4,1,13,4,46,38
Brandon Thomas-Asante,49.8,3,57,53,66,70
Andrew Osei-Bonsu,44.4,3,54,50,62,53
Meshal Khalaf Al Shammari,44.4,2,38,45,74,63
Marcelo Salinas-Paulino,21.4,1,38,12,31,25
Thijs Dekker,47.0,2,58,53,65,57
Patrick Maneschijn,46.6,3,55,52,60,63
Fareed Al Harbi,43.2,2,55,53,54,52
Francisco Venegas,42.8,2,54,34,65,59
Dani Koks,48.6,3,57,59,69,55
Andrey Krasnov,33.4,2,38,24,60,43
Emanuel Sakic,44.2,2,42,47,72,58
Ofir Mizrahi,42.4,3,44,41,68,56
Tommaso Silvestri,31.4,2,36,21,55,43
Joran Triest,46.8,2,54,53,62,63
Patrick Schmidt,47.2,3,53,47,61,72
Abel Franssen,36.2,2,44,25,61,49
Daniel Thur,34.2,2,42,27,56,44
Álvaro Ogalde,23.6,1,35,6,45,31
Daan Heymans,45.8,2,59,47,59,62
Anton Fagerström,20.6,1,16,3,41,42
Agustín Cedrés,49.2,2,58,48,70,68
Addison Garnett,33.4,2,32,21,57,55
Park Tae Hwan,33.6,2,38,25,45,58
Ryusuke Sakai,36.2,2,42,31,61,45
Cameron Pring,42.6,2,40,50,60,61
Taylan Duman,49.8,2,56,53,72,66
Nick Feely,18.0,1,17,13,31,28
Jordan Lotomba,50.2,3,56,52,68,72
Leon Bätge,18.6,1,15,6,36,35
Sebastian Grønning,49.0,2,55,50,70,68
Mikkel Jespersen,46.4,2,55,40,71,64
Niklas Landgraf,51.0,2,58,41,75,79
Declan Rice,36.4,2,40,32,61,47
Gloire Rutikanga,48.6,2,60,40,68,73
Corey Jordan,36.0,2,47,25,62,44
Sam Surridge,46.2,2,56,56,67,50
Nicolás Minutella,43.2,3,56,50,60,47
Nicolás Herranz,34.8,2,40,25,66,41
Felix Beiersdorf,48.4,3,60,50,61,68
Sami Al Najai,47.0,2,61,60,54,58
Eray Cümart,40.6,2,58,27,62,54
Jens Petter Hauge,47.6,2,58,50,67,61
Alessandro Rossi,43.8,2,56,55,52,54
Yannick Verbist,19.8,1,15,6,46,31
Juan Valencia,44.0,3,56,52,52,57
Sigurd Haugen,46.4,3,55,47,68,59
Masayuki Yamada,40.0,2,42,42,52,62
Alex Samizadeh,55.0,3,57,50,81,84
Jonathan Larsson,41.4,2,45,37,66,57
Ramón Mierez,45.4,2,53,54,57,61
Darragh Leahy,31.6,2,37,25,52,42
Michael Sandoval,47.6,2,57,48,66,65
Kim Si Woo,47.6,2,60,55,57,64
Kip Colvey,46.0,2,45,54,68,61
Andre Rawls,21.4,1,16,15,42,33
Chris Mepham,35.0,2,48,28,50,47
Lee Rae Joon,43.6,2,55,38,61,62
Diego Bravo,46.6,2,53,40,72,66
Santiago Lebus,46.8,3,59,45,63,64
Matías Blengio,19.0,1,15,4,40,35
Jonathan Augustinsson,41.8,2,50,36,61,60
Kazunari Hosaka,49.4,2,56,48,79,62
Kosuke Okanishi,24.2,1,16,26,40,38
Hiroki Oka,21.8,1,17,25,42,24
Kaito Anzai,49.0,2,58,53,77,55
Naoki Otani,31.0,2,30,22,54,47
Wataru Sasaki,51.8,3,58,51,77,70
Daiki Ogawa,44.6,2,34,44,73,70
Teruaki Kobayashi,36.8,2,39,47,54,42
Fahad Ghazi,36.0,2,49,35,32,62
Sebastián Balmaceda,50.2,3,54,54,67,73
Go Ito,19.4,1,18,16,24,38
Yuji Kajikawa,24.8,1,17,16,48,42
Yuki Kato,17.6,1,18,9,33,27
Asahi Yada,47.4,3,54,52,80,48
Uduak Cyril Idemokon,48.2,2,52,55,66,66
Yohei Takeda,16.6,1,18,12,26,26
Carlos Paez,38.4,2,43,38,67,42
Callum Chettle,44.6,2,58,33,64,66
Luke Maxwell,41.2,2,58,47,48,51
Paul Murphy,44.0,2,44,56,56,62
Antony Ranieri,47.4,3,59,50,75,50
Jefferson Angulo,53.4,3,59,62,69,74
Teddy Bergqvist,48.4,2,46,54,75,65
Jordan Nicholson,52.0,3,56,55,70,76
Dawid Szymonowicz,46.2,2,53,32,64,80
Mason Stajduhar,19.2,1,14,18,34,29
Mohammed Hassan Asiri,24.0,1,17,15,44,43
Jamie Cobain,42.2,2,43,43,67,56
George Dowling,49.6,2,62,55,65,64
Ricardo Cruz,50.4,2,53,52,77,68
Yerko Urra,19.4,1,35,4,35,22
Lee Grace,35.0,2,42,20,53,58
Chris Kenny,49.0,2,56,54,71,62
Jhon Lucumi,38.8,2,45,33,56,58
Anton Maikkula,47.4,2,53,39,70,73
Sebastian Pedersen,47.8,2,54,55,72,56
Ibrahima Sissoko,38.6,2,57,39,39,56
Victor Nirennold,31.4,2,40,30,37,48
Logan Rogerson,53.0,3,52,52,76,82
Trevoh Chalobah,39.6,2,49,34,62,51
Josh Robson,38.4,2,41,42,49,58
Regan Charles-Cook,51.8,3,56,43,79,78
Erlend Dahl Reitan,44.4,2,51,49,62,58
Andrew Fox,45.2,2,51,42,70,61
Ismaïl Haddou,47.0,3,59,49,65,59
Neydson,25.6,1,19,12,58,38
Adil Azbague,45.0,3,62,46,56,58
Enzo Marteiro,51.4,3,60,51,68,75
Vitaliy Shilnikov,20.0,1,16,10,41,32
Lawrence Ati,27.0,1,24,17,56,37
Eliseo Miranda,48.4,2,58,50,70,62
Ali Al Bulayhi,37.6,2,50,25,77,34
Victor Gálvez,25.4,1,19,18,56,33
Fabian Schubert,43.2,3,52,50,54,57
Riyadh Sharahili,34.2,2,55,31,31,52
Mathew Stevens,49.2,2,53,59,67,65
Lawson Sabah,54.6,2,64,46,87,74
Frederik Lauenborg,43.8,2,56,41,72,48
Alan Chaparro,25.6,1,14,11,70,32
Louis Rooney,53.2,2,52,57,81,74
Luca de la Torre,49.4,3,61,51,75,57
Ryheem Sheckleford,45.4,2,41,51,74,59
Moustafa Zeidan,53.4,3,60,43,84,77
Jake Mulraney,53.4,3,57,48,82,77
Tjorven Melens,49.6,2,62,48,67,69
Moussa Diallo,43.8,2,51,47,65,54
Oliver Abildgaard,49.2,2,58,54,67,65
Oskar Buur,50.4,2,51,47,77,75
Norman Peyretti,47.4,3,59,53,64,58
Sven Joss,43.6,2,46,46,66,58
Marcel Engelhardt,24.0,1,19,18,43,39
Remo Arnold,40.4,2,50,40,60,50
Ali Lajami,49.0,2,45,48,74,76
Santiago Ruiz,41.0,2,43,44,53,63
Carlos Riascos,45.2,2,48,50,64,62
Raimundo Rebolledo,39.8,2,34,45,55,63
Mason Warren,52.2,2,55,54,85,65
Daniel Iversen,23.2,1,16,19,48,32
Tahvon Campbell,52.0,3,56,57,80,64
Jørgen Hatlehol,45.8,2,55,56,52,64
Marius Østvold,55.0,2,61,52,82,78
Sultan Al Ghamdi,22.8,1,15,13,52,33
Matías Herrera,24.2,1,20,8,55,37
Nicolas Lemaître,21.0,1,24,19,37,24
Mansour Jawhar,24.2,1,19,17,47,37
Khalid Shakhtiev,49.4,2,37,27,91,90
Ronan Curtis,44.0,2,48,49,62,59
Kim Tae Ho,25.4,1,22,18,54,32
Agustín Pascucci,47.4,2,56,47,71,61
Tobias Salquist,31.2,2,34,23,57,40
Facundo Altamirano,25.8,1,19,12,54,43
Hamilton Valencia,53.6,3,56,50,82,77
Mitchell Dickenson,32.8,2,40,25,48,49
Jermaine Hylton,47.0,3,47,56,66,63
Michael Jahn,34.6,2,38,22,56,55
Mohamed Zeroual,52.0,3,61,49,90,57
Matthew McInally,42.4,2,56,36,58,60
Oliver Pain,18.0,1,26,5,30,28
Nico Empen,49.8,3,52,58,69,67
Jonathan Tamimi,45.2,2,58,35,67,64
Ross MacLean,49.6,3,59,50,80,56
Juan Jiménez,24.6,1,24,17,47,34
David O'Sullivan,43.8,2,55,55,55,52
Marc Bola,45.2,2,60,40,66,58
George Blackwood,44.4,2,55,51,52,62
Ali Al Ahsai,29.0,1,17,19,69,39
Louis Ramsay,45.4,2,41,51,73,60
Deimantas Petravičius,49.2,3,48,56,64,75
Esteban Ruiz,21.8,1,20,17,35,36
Dimitar Mitov,30.4,1,24,17,55,55
Jonathan Edwards,50.0,3,54,46,72,75
Xavier Lenogue,18.8,1,13,6,36,38
Giuseppe Scalera,43.4,2,53,35,60,67
Marc Marino,51.0,2,55,58,62,78
Scott Wright,51.0,3,60,49,72,71
Dom Telford,46.8,2,54,48,73,57
Moustapha Beye,34.8,2,34,23,69,46
Greg Docherty,47.8,3,59,46,59,72
Leonardo Figueroa,24.0,1,16,8,52,43
Muhammed Kayaroglu,55.6,3,58,50,79,88
Jakub Mrozik,47.2,3,52,49,66,66
Stefan Umjenović,30.2,2,30,27,51,41
Svenn Crone,43.4,2,53,37,61,64
Joe McDonnell,17.0,1,23,10,25,26
George Maris,45.8,2,56,46,65,60
David Sauerland,54.4,2,63,54,77,76
Guillaume Lesec,26.4,1,20,13,64,34
Hussain Al Shaikh,46.6,3,56,54,61,59
David Olsson,27.6,1,21,20,57,39
Magnus Pedersen,41.8,2,53,50,62,42
Jack Cowgill,31.4,2,31,23,52,49
George Cooper,49.0,3,53,52,74,63
Runar Runarsson,26.2,1,17,16,55,42
Harry Isted,25.2,1,24,15,54,32
Yones Felfel,44.4,2,55,53,58,54
Jens Rinke,27.2,1,19,20,58,38
Ilter Ayyildiz,45.8,2,58,45,62,62
Jalen Robinson,35.6,2,37,25,72,42
Johan Brattberg,22.6,1,21,19,35,37
Kevin Martin,24.6,1,20,13,52,37
Igor Lasicki,41.4,2,47,49,56,53
Francesco Di Mariano,48.6,3,60,56,67,57
Jacob Barrett Laursen,44.2,2,53,51,58,57
Nils-Jonathan Körber,24.4,1,20,12,43,46
Casper Olesen,48.2,2,52,44,75,68
Caolan McAleer,53.6,2,60,60,76,70
Daniel Byrne,43.8,2,53,44,62,58
Alex Rufer,50.0,2,53,54,70,71
Danijel Nizic,21.4,1,22,7,39,38
Shane Griffin,48.4,2,49,51,69,71
Jorge Calderón,57.0,3,58,46,84,94
Joe Lumley,24.8,1,23,19,51,30
Kealan Dillon,50.4,3,54,54,71,70
Connor Randall,41.2,3,57,50,57,39
Alex Kenyon,45.8,2,59,42,69,57
Turki Ahmed Al Khudair,45.6,2,61,47,59,59
Antonino Daí,43.6,2,47,27,68,74
Ryan Scully,24.6,1,22,11,58,31
Bradley Barry,43.8,2,51,48,60,58
Joshua Daniels,48.6,3,47,53,69,71
Luis Sotomayor,26.0,1,17,14,65,33
Paul Mullin,47.0,2,55,57,65,56
Oscar Suárez,48.0,2,54,48,67,69
James Weir,50.4,2,61,52,72,65
Dion Conroy,35.0,2,48,28,52,45
Robert Cornwall,44.4,2,50,42,70,58
Stepan Rebenko,41.4,2,34,25,74,72
Dillon Barnes,21.6,1,16,12,47,32
Nouh Al Mousa,48.0,2,51,57,63,67
Bartosz Kwiecień,44.8,2,58,54,52,58
Bryn Morris,47.0,2,57,50,65,61
Luke Coulson,49.4,2,52,51,65,77
Charlie Burns,21.0,1,19,9,39,37
Jakub Miszczuk,20.2,1,20,11,37,32
Mohammed Al Taweel,27.4,1,23,16,63,34
Lucas Hägg-Johansson,21.4,1,23,13,33,37
Francesco Pacini,21.6,1,21,18,38,30
Mubarak Al Sultan,49.8,3,60,55,76,55
Sultan Al Dossari,29.2,2,49,32,32,31
Wladimiro Falcone,18.6,1,20,5,34,33
Kieran Kennedy,36.6,2,44,21,58,58
Mohammed Majrashi,45.0,2,54,53,53,63
Matt Acton,23.6,1,18,20,41,38
Joachim Osvold,46.4,2,55,54,65,56
Fahad Mohammed Al Munaif,45.4,2,46,54,60,65
Soliman Sofyani,22.0,1,22,14,43,30
Lewis Hawkins,48.2,2,60,48,70,61
Ger Pender,43.4,2,54,58,54,49
Theo Wharton,50.4,2,62,48,67,73
Packie Mailey,28.8,2,29,19,57,37
Kyle Callan-McFadden,32.8,2,35,23,59,45
Wojciech Małecki,25.2,1,25,14,47,39
Liam Martin,49.8,3,56,54,71,65
Patrick Lacey,49.8,2,55,55,70,67
Thomas McMonagle,35.2,2,40,36,65,33
Mats Haakenstad,46.4,2,58,50,62,60
Shane Grimes,39.2,2,53,47,52,42
Don Cowan,51.2,2,50,52,70,82
Naoki Yamada,57.6,2,62,62,83,79
Mark Salmon,42.6,2,58,52,45,56
Jamie Turley,37.4,2,37,39,49,60
Dragan Mihajlovic,46.8,2,52,59,60,61
Ivan Komissarov,24.6,1,29,19,24,50
Alexandr Denisov,44.8,2,55,44,57,66
Hong Jung Nam,29.8,1,21,17,62,48
Fan Xiaodong,47.2,3,58,52,65,58
Noel Haverty,36.6,2,49,22,53,57
Conor Powell,46.8,2,54,49,62,67
Lee Molyneux,47.8,2,49,56,63,69
Francesco Russo,25.4,1,13,17,52,44
Jonas Jensen,21.2,1,18,14,41,32
Wayne Brown,20.4,1,19,16,35,31
Barry Molloy,41.2,2,55,41,58,50
Hwang In Hyeok,31.0,2,30,26,52,45
Lee Soon Min,44.0,2,52,48,66,52
Majed Al Daini,52.4,2,51,56,78,75
Choe Jae Hyeon,42.6,2,50,44,58,59
Lautaro Belleggia,46.8,3,46,44,76,65
Juan Pablo Vacca,35.4,2,48,24,57,46
Petar Pusic,41.8,2,52,33,70,52
Arijan Qollaku,41.2,2,42,43,61,58
Felix Horn Myhre,45.4,2,60,36,73,56
Cristian Tovar,34.2,2,36,22,65,46
Daniil Kuzmin,43.4,3,55,29,77,53
Mauricio Godoy,50.8,4,53,61,75,61
Kerim Can Güzeldal,44.8,2,52,41,72,57
Mateo Rodas,37.2,2,43,28,63,50
Luis Rodríguez,34.2,2,35,21,68,45
Camilo Velásquez,49.4,3,49,58,73,64
Sebastián Rodríguez,45.0,2,42,44,70,67
Johan Jiménez,44.6,3,53,57,56,54
Filippo Delli Carri,27.8,2,42,15,42,38
Hassan Ndam,34.8,2,42,32,49,49
Arnaud Bodart,13.2,1,11,6,26,22
Djordje Mihailovic,48.0,2,60,56,70,52
Moises Morales,34.2,2,32,32,58,47
Christian Frimpong,32.4,2,34,29,48,49
Chris Durkin,36.0,2,49,27,60,42
Takuya Hashiguchi,27.8,2,42,27,35,33
Alexandr Melikhov,17.2,1,14,6,28,37
Justin Schmidt,35.2,2,43,31,51,49
Lindo Mfeka,49.8,4,54,53,86,52
Kwame Awuah,49.4,3,56,51,80,57
Yosimar Quiñones,30.2,2,37,22,48,42
Andrés Curbelo,34.0,2,43,25,53,47
Kendall McIntosh,24.6,1,18,15,50,39
Ben Chapman,49.2,2,58,39,67,80
Jakob Lindström,47.8,2,55,48,71,63
Romain Cagnon,15.4,1,12,5,27,32
Santiago Rosa,23.8,1,25,4,47,42
Deng Hanwen,43.2,2,41,47,60,66
Aleksander Melgalvis,44.0,2,39,55,67,57
Hannes Wolf,49.0,2,60,43,76,64
Habib Maïga,37.8,2,52,27,55,53
Noah Awassi,33.4,2,35,28,52,50
Duvan Sánchez,46.4,3,57,55,68,49
Simone Lo Faso,44.4,3,52,53,62,52
Jacob Brown,44.4,3,61,40,65,53
Dennis Adeniran,47.0,2,54,51,72,56
Matias Caroca,40.2,2,46,38,59,56
Lewis O'Brien,52.0,3,56,48,82,71
Mickaël Nanizayamo,31.4,2,38,27,50,40
Marcin Wasielewski,43.2,2,45,42,71,56
Jonathan Morsay,51.6,2,56,54,72,74
Joel Kabongo,35.4,2,50,24,52,49
Jonathan Lunney,49.4,2,57,46,75,67
Dylan Watts,45.8,3,51,45,65,65
Ignacio Lara,46.6,2,55,49,64,63
Ricky German,47.4,3,46,50,66,72
Ifeanyi Mathew,49.8,2,59,56,74,58
Ethan Poulain,40.8,2,47,25,67,63
Vincenzo Venditti,15.6,1,12,7,29,29
Jordan O'Doherty,51.8,2,56,49,76,76
Nicolás Cordero,46.2,2,52,50,75,52
Jonas Behounek,43.0,2,54,37,67,55
Rafik Guitane,54.8,3,62,37,92,80
Naif Mansour Al Mutairi,45.6,2,55,54,56,61
Kristoffer Hay,28.8,2,32,27,40,43
Abdulmajeed Al Mutairi,52.6,3,63,42,80,75
Marco Varnier,34.4,2,33,33,55,49
Sebastián Gutiérrez,53.2,2,51,56,82,75
Nikita Kovalev,40.4,2,40,46,63,51
Jonatan Olsson,30.8,2,35,24,48,45
Steven Kinsella,47.0,3,55,50,73,54
Sidad Najah Chooly,48.0,2,57,49,75,57
Givan Werkhoven,45.6,2,52,49,60,65
Lucien Alessandri,46.4,2,52,58,58,62
Thibault Campanini,44.4,2,57,38,72,53
Pierre-Ange Defranchi,46.0,2,51,53,67,57
Aqeel Nasser Zaila,45.4,2,48,48,73,56
Alexandre Ramalingom,44.4,2,44,49,72,55
Krystian Popiela,42.8,2,53,47,54,58
Francesco Lovric,41.0,3,48,36,58,60
Johannes Wolff,37.4,2,51,31,61,42
Can Luka Aydogan,43.2,2,54,34,66,60
Florimond Smars,35.6,2,43,24,54,55
Sören Reddemann,31.6,2,35,27,39,55
Takahiro Ogihara,46.2,2,51,48,60,70
Mario Mosböck,45.4,3,61,46,59,58
Alvin Segbia,47.0,3,52,42,71,67
Fabián Hernández,41.2,2,50,53,48,53
Nasser Zaher Al Abdali,48.8,2,53,52,73,64
Erik Eikeng,47.8,3,55,51,60,70
Radosław Kanach,44.0,2,61,33,68,56
William Pérez,48.0,3,44,63,65,65
Lachlan Scott,47.8,2,49,56,67,65
Charlie Rowan,36.4,2,43,30,52,55
Joakim Mæhle,39.0,2,48,36,59,50
Kory Roberts,39.2,2,33,20,68,73
Réda Rabei,50.4,3,59,44,78,68
Sammy Skytte,41.6,2,57,45,48,56
Gauthier Banaziak,21.8,1,14,8,47,39
Mohammed Rafique,52.8,2,56,53,79,74
Dennis Schmitt,49.0,2,48,39,82,74
Franko Uzelac,33.8,2,40,24,48,55
Myziane Maolida,52.4,3,52,41,88,78
Neider Barona,52.4,3,52,59,76,72
Louka Franco,50.6,3,60,48,70,72
Pieter De Smet,40.2,2,51,32,58,58
Kim Seong Hyun,35.4,2,43,31,48,53
William Arne Hanssen,49.2,2,55,53,66,70
Marco Crocchianti,34.2,2,41,32,55,41
Diego Lara,18.2,1,18,4,42,26
Patrick Fritsch,41.6,2,44,29,68,65
Eijiro Takeda,50.0,2,55,52,74,67
Kim Jong Seok,46.0,2,54,54,70,50
Cihan Kahraman,51.8,3,61,38,82,75
Tomás Sierra,43.8,3,55,39,66,56
Leonid Otchenashenko,14.2,1,10,6,27,27
Katsuya Ishihara,49.8,3,59,47,75,65
